i,s,t,level,marginal,lower,upper,scale
Denmark,info_legal,17,3.0,-0.0,0.0,inf,1.0
Denmark,info_legal,18,3.0,-0.0,0.0,inf,1.0
Denmark,info_legal,19,3.0,-0.0,0.0,inf,1.0
Denmark,info_legal,20,3.0,-0.0,0.0,inf,1.0
Denmark,info_legal,21,4.0,-0.0,0.0,inf,1.0
Denmark,info_legal,22,3.0,-0.0,0.0,inf,1.0
Denmark,info_legal,23,4.0,-0.0,0.0,inf,1.0
Denmark,info_legal,24,4.0,-0.0,0.0,inf,1.0
Denmark,info_legal,25,3.0,-0.0,0.0,inf,1.0
Denmark,info_legal,26,4.0,-0.0,0.0,inf,1.0
Denmark,info_legal,27,3.0,-0.0,0.0,inf,1.0
Denmark,info_legal,28,4.0,-0.0,0.0,inf,1.0
Denmark,info_legal,29,4.0,-0.0,0.0,inf,1.0
Denmark,info_legal,30,0.0,-0.0,0.0,inf,1.0
Denmark,info_legal,31,0.0,-0.0,0.0,inf,1.0
Denmark,medical,0,0.0,-0.0,0.0,inf,1.0
Denmark,medical,1,0.0,-0.0,0.0,inf,1.0
Denmark,medical,2,0.0,-0.0,0.0,inf,1.0
Denmark,medical,3,0.0,-0.0,0.0,inf,1.0
Denmark,medical,4,0.0,-0.0,0.0,inf,1.0
Denmark,medical,5,0.0,-0.0,0.0,inf,1.0
Denmark,medical,6,0.0,-0.0,0.0,inf,1.0
Denmark,medical,7,8.0,-0.0,0.0,inf,1.0
Denmark,medical,8,9.0,-0.0,0.0,inf,1.0
Denmark,medical,9,9.0,-0.0,0.0,inf,1.0
Denmark,medical,10,3.0,-0.0,0.0,inf,1.0
Denmark,medical,11,3.0,-0.0,0.0,inf,1.0
Denmark,medical,12,5.0,-0.0,0.0,inf,1.0
Denmark,medical,13,4.0,-0.0,0.0,inf,1.0
Denmark,medical,14,4.0,-0.0,0.0,inf,1.0
Denmark,medical,15,2.0,-0.0,0.0,inf,1.0
Denmark,medical,16,7.0,-0.0,0.0,inf,1.0
Denmark,medical,17,2.0,-0.0,0.0,inf,1.0
Denmark,medical,18,2.0,-0.0,0.0,inf,1.0
Denmark,medical,19,2.0,-0.0,0.0,inf,1.0
Denmark,medical,20,2.0,-0.0,0.0,inf,1.0
Denmark,medical,21,2.0,-0.0,0.0,inf,1.0
Denmark,medical,22,7.0,-0.0,0.0,inf,1.0
Denmark,medical,23,7.0,-0.0,0.0,inf,1.0
Denmark,medical,24,2.0,-0.0,0.0,inf,1.0
Denmark,medical,25,2.0,-0.0,0.0,inf,1.0
Denmark,medical,26,8.0,-0.0,0.0,inf,1.0
Denmark,medical,27,8.0,-0.0,0.0,inf,1.0
Denmark,medical,28,8.0,-0.0,0.0,inf,1.0
Denmark,medical,29,1.0,-0.0,0.0,inf,1.0
Denmark,medical,30,0.0,-0.0,0.0,inf,1.0
Denmark,medical,31,0.0,-0.0,0.0,inf,1.0
France,info_legal,0,0.0,-0.0,0.0,inf,1.0
France,info_legal,1,2.0,-0.0,0.0,inf,1.0
France,info_legal,2,5.0,-0.0,0.0,inf,1.0
France,info_legal,3,7.0,-0.0,0.0,inf,1.0
France,info_legal,4,7.0,-0.0,0.0,inf,1.0
France,info_legal,5,7.0,-0.0,0.0,inf,1.0
France,info_legal,6,5.0,-0.0,0.0,inf,1.0
France,info_legal,7,7.0,-0.0,0.0,inf,1.0
France,info_legal,8,10.0,-0.0,0.0,inf,1.0
France,info_legal,9,13.0,-0.0,0.0,inf,1.0
France,info_legal,10,13.0,-0.0,0.0,inf,1.0
France,info_legal,11,13.0,-0.0,0.0,inf,1.0
France,info_legal,12,13.0,-0.0,0.0,inf,1.0
France,info_legal,13,9.0,-0.0,0.0,inf,1.0
France,info_legal,14,7.0,-0.0,0.0,inf,1.0
France,info_legal,15,7.0,-0.0,0.0,inf,1.0
France,info_legal,16,6.0,-0.0,0.0,inf,1.0
France,info_legal,17,6.0,-0.0,0.0,inf,1.0
France,info_legal,18,6.0,-0.0,0.0,inf,1.0
France,info_legal,19,5.0,-0.0,0.0,inf,1.0
France,info_legal,20,4.0,-0.0,0.0,inf,1.0
France,info_legal,21,4.0,-0.0,0.0,inf,1.0
France,info_legal,22,4.0,-0.0,0.0,inf,1.0
France,info_legal,23,4.0,-0.0,0.0,inf,1.0
France,info_legal,24,28.0,-0.0,0.0,inf,1.0
France,info_legal,25,4.0,-0.0,0.0,inf,1.0
France,info_legal,26,6.0,-0.0,0.0,inf,1.0
France,info_legal,27,6.0,-0.0,0.0,inf,1.0
France,info_legal,28,3.0,-0.0,0.0,inf,1.0
France,info_legal,29,3.0,-0.0,0.0,inf,1.0
France,info_legal,30,2.0,-0.0,0.0,inf,1.0
France,info_legal,31,1.0,-0.0,0.0,inf,1.0
France,medical,0,0.0,-0.0,0.0,inf,1.0
France,medical,1,6.0,-0.0,0.0,inf,1.0
France,medical,2,6.0,-0.0,0.0,inf,1.0
France,medical,3,6.0,-0.0,0.0,inf,1.0
France,medical,4,5.0,-0.0,0.0,inf,1.0
France,medical,5,4.0,-0.0,0.0,inf,1.0
France,medical,6,4.0,-0.0,0.0,inf,1.0
France,medical,7,7.0,-0.0,0.0,inf,1.0
France,medical,8,7.0,-0.0,0.0,inf,1.0
France,medical,9,7.0,-0.0,0.0,inf,1.0
France,medical,10,5.0,-0.0,0.0,inf,1.0
France,medical,11,6.0,-0.0,0.0,inf,1.0
France,medical,12,5.0,-0.0,0.0,inf,1.0
France,medical,13,5.0,-0.0,0.0,inf,1.0
France,medical,14,5.0,-0.0,0.0,inf,1.0
France,medical,15,4.0,-0.0,0.0,inf,1.0
France,medical,16,3.0,-0.0,0.0,inf,1.0
France,medical,17,7.0,-0.0,0.0,inf,1.0
France,medical,18,7.0,-0.0,0.0,inf,1.0
France,medical,19,7.0,-0.0,0.0,inf,1.0
France,medical,20,7.0,-0.0,0.0,inf,1.0
France,medical,21,7.0,-0.0,0.0,inf,1.0
France,medical,22,7.0,-0.0,0.0,inf,1.0
France,medical,23,7.0,-0.0,0.0,inf,1.0
France,medical,24,7.0,-0.0,0.0,inf,1.0
France,medical,25,7.0,-0.0,0.0,inf,1.0
France,medical,26,7.0,-0.0,0.0,inf,1.0
France,medical,27,7.0,-0.0,0.0,inf,1.0
France,medical,28,7.0,-0.0,0.0,inf,1.0
France,medical,29,1.0,-0.0,0.0,inf,1.0
France,medical,30,220.0,-0.0,0.0,inf,1.0
France,medical,31,0.9999999999998758,-0.0,0.0,inf,1.0
Germany,info_legal,0,0.0,-0.0,0.0,inf,1.0
Germany,info_legal,1,53.0,-0.0,0.0,inf,1.0
Germany,info_legal,2,38.0,-0.0,0.0,inf,1.0
Germany,info_legal,3,40.0,-0.0,0.0,inf,1.0
Germany,info_legal,4,39.0,-0.0,0.0,inf,1.0
Germany,info_legal,5,41.0,-0.0,0.0,inf,1.0
Germany,info_legal,6,42.0,-0.0,0.0,inf,1.0
Germany,info_legal,7,28.0,-0.0,0.0,inf,1.0
Germany,info_legal,8,29.0,-0.0,0.0,inf,1.0
Germany,info_legal,9,26.0,-0.0,0.0,inf,1.0
Germany,info_legal,10,26.0,-0.0,0.0,inf,1.0
Germany,info_legal,11,25.0,-0.0,0.0,inf,1.0
Germany,info_legal,12,23.0,-0.0,0.0,inf,1.0
Germany,info_legal,13,22.0,-0.0,0.0,inf,1.0
Germany,info_legal,14,21.0,-0.0,0.0,inf,1.0
Germany,info_legal,15,21.0,-0.0,0.0,inf,1.0
Germany,info_legal,16,25.0,-0.0,0.0,inf,1.0
Germany,info_legal,17,25.0,-0.0,0.0,inf,1.0
Germany,info_legal,18,23.0,-0.0,0.0,inf,1.0
Germany,info_legal,19,39.0,-0.0,0.0,inf,1.0
Germany,info_legal,20,42.0,-0.0,0.0,inf,1.0
Germany,info_legal,21,19.0,-0.0,0.0,inf,1.0
Germany,info_legal,22,43.0,-0.0,0.0,inf,1.0
Germany,info_legal,23,43.0,-0.0,0.0,inf,1.0
Germany,info_legal,24,19.0,-0.0,0.0,inf,1.0
Germany,info_legal,25,49.0,-0.0,0.0,inf,1.0
Germany,info_legal,26,19.0,-0.0,0.0,inf,1.0
Germany,info_legal,27,18.0,-0.0,0.0,inf,1.0
Germany,info_legal,28,17.0,-0.0,0.0,inf,1.0
Germany,info_legal,29,6.0,-0.0,0.0,inf,1.0
Germany,info_legal,30,6.0,-0.0,0.0,inf,1.0
Germany,info_legal,31,1.0,-0.0,0.0,inf,1.0
Germany,medical,0,0.0,-0.0,0.0,inf,1.0
Germany,medical,1,34.0,-0.0,0.0,inf,1.0
Germany,medical,2,31.0,-0.0,0.0,inf,1.0
Germany,medical,3,31.0,-0.0,0.0,inf,1.0
Germany,medical,4,32.0,-0.0,0.0,inf,1.0
Germany,medical,5,30.0,-0.0,0.0,inf,1.0
Germany,medical,6,27.0,-0.0,0.0,inf,1.0
Germany,medical,7,17.0,-0.0,0.0,inf,1.0
Germany,medical,8,17.0,-0.0,0.0,inf,1.0
Germany,medical,9,16.0,-0.0,0.0,inf,1.0
Germany,medical,10,15.0,-0.0,0.0,inf,1.0
Germany,medical,11,14.0,-0.0,0.0,inf,1.0
Germany,medical,12,12.0,-0.0,0.0,inf,1.0
Germany,medical,13,11.0,-0.0,0.0,inf,1.0
Germany,medical,14,10.0,-0.0,0.0,inf,1.0
Germany,medical,15,11.0,-0.0,0.0,inf,1.0
Germany,medical,16,12.0,-0.0,0.0,inf,1.0
Germany,medical,17,13.0,-0.0,0.0,inf,1.0
Germany,medical,18,12.0,-0.0,0.0,inf,1.0
Germany,medical,19,205.0,-0.0,0.0,inf,1.0
Germany,medical,20,10.0,-0.0,0.0,inf,1.0
Germany,medical,21,10.0,-0.0,0.0,inf,1.0
Germany,medical,22,12.0,-0.0,0.0,inf,1.0
Germany,medical,23,12.0,-0.0,0.0,inf,1.0
Germany,medical,24,9.0,-0.0,0.0,inf,1.0
Germany,medical,25,10.0,-0.0,0.0,inf,1.0
Germany,medical,26,10.0,-0.0,0.0,inf,1.0
Germany,medical,27,9.0,-0.0,0.0,inf,1.0
Germany,medical,28,9.0,-0.0,0.0,inf,1.0
Germany,medical,29,212.0,-0.0,0.0,inf,1.0
Germany,medical,30,2.0,-0.0,0.0,inf,1.0
Germany,medical,31,1.0,-0.0,0.0,inf,1.0
Hungry,info_legal,0,0.0,-0.0,0.0,inf,1.0
Hungry,info_legal,1,0.0,-0.0,0.0,inf,1.0
Hungry,info_legal,2,0.0,-0.0,0.0,inf,1.0
Hungry,info_legal,3,0.0,-0.0,0.0,inf,1.0
Hungry,info_legal,4,0.0,-0.0,0.0,inf,1.0
Hungry,info_legal,5,0.0,-0.0,0.0,inf,1.0
Hungry,info_legal,6,0.0,-0.0,0.0,inf,1.0
Hungry,info_legal,7,0.0,-0.0,0.0,inf,1.0
Hungry,info_legal,8,0.0,-0.0,0.0,inf,1.0
Hungry,info_legal,9,0.0,-0.0,0.0,inf,1.0
Hungry,info_legal,10,0.0,-0.0,0.0,inf,1.0
Hungry,info_legal,11,0.0,-0.0,0.0,inf,1.0
Hungry,info_legal,12,1.0,-0.0,0.0,inf,1.0
Hungry,info_legal,13,1.0,-0.0,0.0,inf,1.0
Hungry,info_legal,14,1.0,-0.0,0.0,inf,1.0
Hungry,info_legal,15,1.0,-0.0,0.0,inf,1.0
Hungry,info_legal,16,1.0,-0.0,0.0,inf,1.0
Hungry,info_legal,17,1.0,-0.0,0.0,inf,1.0
Hungry,info_legal,18,3.0,-0.0,0.0,inf,1.0
Hungry,info_legal,19,3.0,-0.0,0.0,inf,1.0
Hungry,info_legal,20,2.0,-0.0,0.0,inf,1.0
Hungry,info_legal,21,2.0,-0.0,0.0,inf,1.0
Hungry,info_legal,22,3.0,-0.0,0.0,inf,1.0
Hungry,info_legal,23,8.0,-0.0,0.0,inf,1.0
Hungry,info_legal,24,4.0,-0.0,0.0,inf,1.0
Hungry,info_legal,25,3.0,-0.0,0.0,inf,1.0
Hungry,info_legal,26,4.0,-0.0,0.0,inf,1.0
Hungry,info_legal,27,4.0,-0.0,0.0,inf,1.0
Hungry,info_legal,28,8.0,-0.0,0.0,inf,1.0
Hungry,info_legal,29,1.0,-0.0,0.0,inf,1.0
Hungry,info_legal,30,0.0,-0.0,0.0,inf,1.0
Hungry,info_legal,31,0.0,-0.0,0.0,inf,1.0
Hungry,medical,0,0.0,-0.0,0.0,inf,1.0
Hungry,medical,1,0.0,-0.0,0.0,inf,1.0
Hungry,medical,2,0.0,-0.0,0.0,inf,1.0
Hungry,medical,3,0.0,-0.0,0.0,inf,1.0
Hungry,medical,4,0.0,-0.0,0.0,inf,1.0
Hungry,medical,5,2.0,-0.0,0.0,inf,1.0
Hungry,medical,6,1.0,-0.0,0.0,inf,1.0
Hungry,medical,7,1.0,-0.0,0.0,inf,1.0
Hungry,medical,8,163.0,-0.0,0.0,inf,1.0
Hungry,medical,9,1.0,-0.0,0.0,inf,1.0
Hungry,medical,10,1.0,-0.0,0.0,inf,1.0
Hungry,medical,11,0.0,-0.0,0.0,inf,1.0
Hungry,medical,12,1.0,-0.0,0.0,inf,1.0
Hungry,medical,13,1.0,-0.0,0.0,inf,1.0
Hungry,medical,14,1.0,-0.0,0.0,inf,1.0
Hungry,medical,15,1.0,-0.0,0.0,inf,1.0
Hungry,medical,16,1.0,-0.0,0.0,inf,1.0
Hungry,medical,17,1.0,-0.0,0.0,inf,1.0
Hungry,medical,18,2.0,-0.0,0.0,inf,1.0
Hungry,medical,19,2.0,-0.0,0.0,inf,1.0
Hungry,medical,20,1.0,-0.0,0.0,inf,1.0
Hungry,medical,21,1.0,-0.0,0.0,inf,1.0
Hungry,medical,22,2.0,-0.0,0.0,inf,1.0
Hungry,medical,23,191.0,-0.0,0.0,inf,1.0
Hungry,medical,24,191.0,-0.0,0.0,inf,1.0
Hungry,medical,25,194.0,-0.0,0.0,inf,1.0
Hungry,medical,26,194.0,-0.0,0.0,inf,1.0
Hungry,medical,27,194.0,-0.0,0.0,inf,1.0
Hungry,medical,28,196.0,-0.0,0.0,inf,1.0
Hungry,medical,29,1.0,-0.0,0.0,inf,1.0
Hungry,medical,30,0.0,-0.0,0.0,inf,1.0
Hungry,medical,31,0.0,-0.0,0.0,inf,1.0
Moldova,info_legal,0,0.0,-0.0,0.0,inf,1.0
Moldova,info_legal,1,5.0,-0.0,0.0,inf,1.0
Moldova,info_legal,2,5.0,-0.0,0.0,inf,1.0
Moldova,info_legal,3,8.0,-0.0,0.0,inf,1.0
Moldova,info_legal,4,7.0,-0.0,0.0,inf,1.0
Moldova,info_legal,5,8.0,-0.0,0.0,inf,1.0
Moldova,info_legal,6,10.0,-0.0,0.0,inf,1.0
Moldova,info_legal,7,9.0,-0.0,0.0,inf,1.0
Moldova,info_legal,8,9.0,-0.0,0.0,inf,1.0
Moldova,info_legal,9,10.0,-0.0,0.0,inf,1.0
Moldova,info_legal,10,10.0,-0.0,0.0,inf,1.0
Moldova,info_legal,11,12.0,-0.0,0.0,inf,1.0
Moldova,info_legal,12,9.0,-0.0,0.0,inf,1.0
Moldova,info_legal,13,9.0,-0.0,0.0,inf,1.0
Moldova,info_legal,14,10.0,-0.0,0.0,inf,1.0
Moldova,info_legal,15,10.0,-0.0,0.0,inf,1.0
Moldova,info_legal,16,11.0,-0.0,0.0,inf,1.0
Moldova,info_legal,17,10.0,-0.0,0.0,inf,1.0
Moldova,info_legal,18,10.0,-0.0,0.0,inf,1.0
Moldova,info_legal,19,10.0,-0.0,0.0,inf,1.0
Moldova,info_legal,20,10.0,-0.0,0.0,inf,1.0
Moldova,info_legal,21,10.0,-0.0,0.0,inf,1.0
Moldova,info_legal,22,11.0,-0.0,0.0,inf,1.0
Moldova,info_legal,23,11.0,-0.0,0.0,inf,1.0
Moldova,info_legal,24,10.0,-0.0,0.0,inf,1.0
Moldova,info_legal,25,13.0,-0.0,0.0,inf,1.0
Moldova,info_legal,26,11.0,-0.0,0.0,inf,1.0
Moldova,info_legal,27,12.0,-0.0,0.0,inf,1.0
Moldova,info_legal,28,9.0,-0.0,0.0,inf,1.0
Moldova,info_legal,29,16.0,-0.0,0.0,inf,1.0
Moldova,info_legal,30,10.0,-0.0,0.0,inf,1.0
Moldova,info_legal,31,10.0,-0.0,0.0,inf,1.0
Moldova,medical,0,0.0,-0.0,0.0,inf,1.0
Moldova,medical,1,8.0,-0.0,0.0,inf,1.0
Moldova,medical,2,8.0,-0.0,0.0,inf,1.0
Moldova,medical,3,10.0,-0.0,0.0,inf,1.0
Moldova,medical,4,10.0,-0.0,0.0,inf,1.0
Moldova,medical,5,10.0,-0.0,0.0,inf,1.0
Moldova,medical,6,10.0,-0.0,0.0,inf,1.0
Moldova,medical,7,10.0,-0.0,0.0,inf,1.0
Moldova,medical,8,10.0,-0.0,0.0,inf,1.0
Moldova,medical,9,10.0,-0.0,0.0,inf,1.0
Moldova,medical,10,10.0,-0.0,0.0,inf,1.0
Moldova,medical,11,10.0,-0.0,0.0,inf,1.0
Moldova,medical,12,10.0,-0.0,0.0,inf,1.0
Moldova,medical,13,10.0,-0.0,0.0,inf,1.0
Moldova,medical,14,9.0,-0.0,0.0,inf,1.0
Moldova,medical,15,11.0,-0.0,0.0,inf,1.0
Moldova,medical,16,10.0,-0.0,0.0,inf,1.0
Moldova,medical,17,11.0,-0.0,0.0,inf,1.0
Moldova,medical,18,11.0,-0.0,0.0,inf,1.0
Moldova,medical,19,11.0,-0.0,0.0,inf,1.0
Moldova,medical,20,11.0,-0.0,0.0,inf,1.0
Moldova,medical,21,11.0,-0.0,0.0,inf,1.0
Moldova,medical,22,9.0,-0.0,0.0,inf,1.0
Moldova,medical,23,10.0,-0.0,0.0,inf,1.0
Moldova,medical,24,10.0,-0.0,0.0,inf,1.0
Moldova,medical,25,9.0,-0.0,0.0,inf,1.0
Moldova,medical,26,10.0,-0.0,0.0,inf,1.0
Moldova,medical,27,12.0,-0.0,0.0,inf,1.0
Moldova,medical,28,10.0,-0.0,0.0,inf,1.0
Moldova,medical,29,10.0,-0.0,0.0,inf,1.0
Moldova,medical,30,12.0,-0.0,0.0,inf,1.0
Moldova,medical,31,12.0,-0.0,0.0,inf,1.0
Poland,info_legal,0,0.0,-0.0,0.0,inf,1.0
Poland,info_legal,1,0.0,-0.0,0.0,inf,1.0
Poland,info_legal,2,0.0,-0.0,0.0,inf,1.0
Poland,info_legal,3,0.0,-0.0,0.0,inf,1.0
Poland,info_legal,4,0.0,-0.0,0.0,inf,1.0
Poland,info_legal,5,0.0,-0.0,0.0,inf,1.0
Poland,info_legal,6,0.0,-0.0,0.0,inf,1.0
Poland,info_legal,7,0.0,-0.0,0.0,inf,1.0
Poland,info_legal,8,0.0,-0.0,0.0,inf,1.0
Poland,info_legal,9,0.0,-0.0,0.0,inf,1.0
Poland,info_legal,10,0.0,-0.0,0.0,inf,1.0
Poland,info_legal,11,0.0,-0.0,0.0,inf,1.0
